CustomerID,OrderID,OrderDate,ProductCategory,Quantity,UnitPrice,TotalAmount,Age,Gender,City
C005,O1001,2025-05-02,Clothing,3,32,96,43,Male,Mumbai
C005,O1002,2025-05-31,Grocery,2,41,82,45,Male,Delhi
C006,O1003,2025-06-07,Electronics,5,54,270,52,Female,Hyderabad
C001,O1004,2025-04-29,Clothing,1,194,194,50,Female,Delhi
C002,O1005,2025-01-07,Books,3,183,549,42,Male,Chennai
C008,O1006,2025-06-12,Home,1,151,151,60,Female,Bangalore
C005,O1007,2025-04-20,Electronics,5,75,375,18,Male,Hyderabad
C009,O1008,2025-05-23,Home,4,169,676,47,Male,Hyderabad
C004,O1009,2025-04-24,Home,1,17,17,57,Male,Mumbai
C001,O1010,2025-04-29,Home,2,155,310,44,Male,Delhi
C003,O1011,2025-02-27,Electronics,2,194,388,18,Female,Chennai
C001,O1012,2025-02-25,Clothing,1,92,92,58,Female,Delhi
C009,O1013,2025-01-25,Grocery,4,165,660,53,Female,Bangalore
C009,O1014,2025-03-05,Electronics,3,163,489,31,Male,Hyderabad
C009,O1015,2025-04-30,Clothing,2,69,138,52,Female,Delhi
C005,O1016,2025-03-08,Books,5,137,685,26,Male,Mumbai
C009,O1017,2025-04-18,Clothing,2,86,172,29,Male,Hyderabad
C009,O1018,2025-02-18,Electronics,4,71,284,40,Female,Chennai
C001,O1019,2025-03-23,Grocery,4,84,336,28,Male,Hyderabad
C004,O1020,2025-02-18,Electronics,5,129,645,51,Female,Hyderabad
C009,O1021,2025-04-30,Home,4,75,300,19,Male,Delhi
C001,O1022,2025-02-17,Home,4,13,52,19,Male,Hyderabad
C005,O1023,2025-06-04,Electronics,4,28,112,28,Female,Mumbai
C004,O1024,2025-02-14,Home,1,50,50,22,Female,Hyderabad
C009,O1025,2025-01-08,Home,5,69,345,56,Male,Bangalore
C002,O1026,2025-05-20,Books,3,198,594,37,Female,Hyderabad
C010,O1027,2025-05-09,Grocery,5,185,925,40,Female,Mumbai
C009,O1028,2025-04-03,Books,1,34,34,43,Male,Delhi
C002,O1029,2025-03-07,Clothing,2,21,42,34,Female,Bangalore
C002,O1030,2025-04-29,Home,5,88,440,36,Female,Hyderabad
C002,O1031,2025-06-09,Books,3,86,258,47,Female,Hyderabad
C004,O1032,2025-04-19,Grocery,2,117,234,18,Male,Delhi
C010,O1033,2025-03-27,Electronics,3,113,339,53,Female,Mumbai
C001,O1034,2025-03-29,Books,3,36,108,39,Male,Chennai
C001,O1035,2025-02-09,Electronics,4,182,728,20,Male,Mumbai
C009,O1036,2025-06-05,Books,4,187,748,60,Female,Delhi
C005,O1037,2025-06-08,Books,4,173,692,51,Male,Delhi
C009,O1038,2025-04-29,Grocery,2,52,104,36,Female,Mumbai
C005,O1039,2025-01-28,Clothing,2,109,218,41,Female,Chennai
C005,O1040,2025-03-14,Clothing,2,111,222,48,Female,Bangalore
C003,O1041,2025-05-10,Home,3,135,405,59,Male,Chennai
C002,O1042,2025-06-13,Home,5,197,985,41,Male,Mumbai
C009,O1043,2025-04-04,Grocery,5,129,645,60,Male,Mumbai
C003,O1044,2025-02-15,Books,5,40,200,24,Male,Delhi
C002,O1045,2025-06-28,Home,5,116,580,31,Male,Delhi
C003,O1046,2025-06-21,Grocery,3,180,540,40,Female,Hyderabad
C009,O1047,2025-06-10,Books,3,64,192,48,Female,Bangalore
C004,O1048,2025-04-15,Home,2,172,344,20,Female,Chennai
C009,O1049,2025-06-29,Grocery,5,140,700,27,Male,Chennai
C001,O1050,2025-03-30,Electronics,1,25,25,56,Male,Delhi
